停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
,,,05-3792117,2015/11/16~2016/1/17,
【停水區域一】嘉義縣鹿草鄉全部村里,2015/12/01 8:0至2016/01/16 23:0,2016/01/16 23:0以後,05-3412045,2015/11/19~2016/1/17,611嘉義縣鹿草鄉     
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】嘉義市西區鐵路以西所有用戶。;嘉義市東區鐵路以東，由博東路以南，接圓福街以西接民權路(圓福街至啟明路)接啟明路以西、接彌陀路以西，八掌溪以北。;嘉義縣水上鄉民生村、三和村、內溪村、寬士村、柳鄉村、柳林村、柳新村、回歸村、下寮村、粗溪村、大堀村、水上村、水頭村、南和村、靖和村、龍德村等16村。,2015/12/01 8:0至2016/01/17 0:0,2016/01/17 0:0以後,05-2762286，05-2681580,2015/11/30~2016/1/18,600嘉義市西區       600嘉義市東區       608嘉義縣水上鄉     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】南投縣竹山鎮民生巷、沉潭巷及其部分巷道,2015/10/13 14:0至2016/02/29 18:0,2016/02/29 18:0以後,0492642074,2015/12/7~2016/3/1,557南投縣竹山鎮     557南投縣竹山鎮     
【停水區域一】南投縣南投市軍功里;軍功路(含巷弄);下雨天不施工順延,2015/12/21 8:30至2016/01/20 18:0,2016/01/20 18:0以後,049-2563505,2015/12/16~2016/1/21,540南投縣南投市     
【停水區域一】嘉義縣水上鄉嘉義縣水上鄉民生村忠孝街、立業街、成功街、自強街等全部巷弄,2015/12/26 8:0至2016/01/15 18:0,2016/01/15 18:0以後,2252670*310,2015/12/22~2016/1/16,608嘉義縣水上鄉     
【停水區域一】南投縣仁愛鄉大同村,2015/12/23 21:0至2016/01/30 8:0,2016/01/30 8:0以後,049-2915176,2015/12/23~2016/1/31,546南投縣仁愛鄉     
【停水區域一】雲林縣虎尾鎮新興里;中山里,2015/12/29 8:0至2016/01/28 18:30,2016/01/28 18:30以後,056322047,2015/12/28~2016/1/29,632雲林縣虎尾鎮     
【停水區域一】台中市霧峰區豐正路93號至102號及豐正路568巷內全部,2015/12/30 9:0至2016/01/15 18:0,2016/01/15 18:0以後,23393138,2015/12/29~2016/1/16,413台中市霧峰區     
【停水區域一】彰化縣埤頭鄉埤頭鄉全部,2015/12/28 8:0至2016/01/12 18:0,2016/01/12 18:0以後,04-8882073     0912975533,2015/12/29~2016/1/13,523彰化縣埤頭鄉     
【停水區域一】嘉義縣中埔鄉金蘭村;裕民村;義仁村,2015/12/14 8:0至2016/03/15 19:0,2016/03/15 19:0以後,05-2611075,2015/12/30~2016/3/16,606嘉義縣中埔鄉     
【停水區域一】台中市烏日區烏日里大同路、大同二街、大同三街、大同五街、大同六街、大同七街、大同八街、大同十街、民族街、民權街、民生街、永春東三南路、光日路（建國路以北）。（以上分段施工）,2015/10/15 8:30至2016/01/31 18:0,2016/01/31 18:0以後,04-23381614,2015/12/31~2016/2/1,414台中市烏日區     
,,,04-7353883,2016/1/4~2016/4/1,
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。;台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016/01/01 19:0至2016/01/31 23:0,2016/01/31 23:0以後,26312127,2016/1/4~2016/2/1,433台中市沙鹿區     434台中市龍井區     
