停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
,,,1910、竹北營運所：(03) 5516814、(03) 5552501,2016/6/17~2016/6/28,305新竹縣新埔鄉     
【停水區域一】苗栗縣頭份鎮濫坑里 金印山莊地區  (預計施工期4~5個月)建請裝置加壓馬達用水,2016/03/25 19:0至2016/08/31 19:0,2016/3/25至2016/8/31每日下午 07:00以後,623500   628000,2016/3/25~2016/9/1,351苗栗縣頭份鎮     
,,,04-7353883,2016/3/30~2016/7/1,
【停水區域一】南投縣魚池鄉大林村、共和村,2016/04/08 9:0至2016/10/31 18:0,2016/10/31 18:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/4/7~2016/11/1,555南投縣魚池鄉     
【停水區域一】屏東縣新園鄉五房村,2016/05/30 8:0至2016/06/30 19:0,2016/06/30 19:0(),08-8325550,2016/5/27~2016/7/1,932屏東縣新園鄉     
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016-05-31 19:00至2016-06-30 23:00,2016-06-30 23:00(每日晚上7點至晚上11點),26312127,2016/6/1~2016/7/1,433台中市沙鹿區     434台中市龍井區     
【停水區域一】台東縣鹿野鄉桃源村昇平路單、雙號,2016/06/6 8:0至2016/06/25 18:0,2016/06/25 18:0(每日上午8點至下午6點),承包商電話:0981-933361(鄭志國)    監造人員電話:0932-559811(謝仲科),2016/6/6~2016/6/26,955台東縣鹿野鄉     
【停水區域一】台東縣卑南鄉初鹿村初鹿一、二、三街及梅園路、文泰路及忠孝路等全部及其巷道,2016/06/06 8:0至2016/06/25 18:0,2016/06/25 18:0(每日上午8點至下午6點(間歇性分段停水施工)),承包商電話:0937-390925(陳連文)    監造人員電話:0932-559811(謝仲科),2016/6/6~2016/6/26,954台東縣卑南鄉     
【停水區域一】台中市太平區太平三街以東、長億一街以西、長億六街以北、太平路以南(長億里),2016/06/09 9:0至2016/07/08 17:30,2016/07/08 17:30(每日上午9點至下午5點30分),1910;04-22442469,2016/6/6~2016/7/9,411台中市太平區     
【停水區域一】台中市太平區永成北路以東、太平三街以西、長億六街以北、太平路以南(永成里/長億里/永平里),2016/06/09 9:0至2016/07/08 17:30,2016/07/08 17:30(每日上午9點至下午5點 30分),1910;04-22442469,2016/6/6~2016/7/9,411台中市太平區     
【停水區域一】台中市東區忠明南路以東、大智路以西、忠明南路以北、建國南路以南(新庄里/振興里/東興里/東橋里/城隍里/德義里/長榮里/新榮里/江川里/福平里/福順里/福興里/國光里/南門里/南和里)。;台中市南區忠明南路以東、大智路以西、忠明南路以北、建國南路以南(新庄里/振興里/東興里/東橋里/城隍里/德義里/長榮里/新榮里/江川里/福平里/福順里/福興里/國光里/南門里/南和里)。,2016/06/02 9:0至2016/07/01 17:30,2016/07/01 17:30(每日上午9點30分至下午17點 30分),1910;04-22442469,2016/6/6~2016/7/2,401台中市東區       402台中市南區       
【停水區域一】台中市南區文心南路以東、國光路以西、高工路(大明路)以北、建國南路以南(積善里/平和里/永和里/德義里/福興里/南和里/福順里/福平里/和平里/崇倫里/樹義里),2016/06/02 9:0至2016/07/01 17:30,2016/07/01 17:30(每日上午9點至下午17點 30分),1910;04-22442469,2016/6/6~2016/7/2,402台中市南區       
【停水區域一】彰化縣彰化市彰鹿路、彰馬路、彰平路、彰水路140巷、彰水路194巷,2016/05/31 8:0至2016/06/30 18:0,2016/06/30 18:0(每日上午8點至下午6點),04-7353883,2016/6/8~2016/7/1,500彰化縣彰化市     
【停水區域一】高雄市大樹區佛光山、統嶺里、興田里、溪埔里、三和高地、姑山高地;高雄市田寮區鹿埔里、古亭里除外;高雄市岡山區三和里;高雄市阿蓮區峰山里、中正路1~100號;高雄市旗山區嶺口及溪洲地區;高雄市燕巢區全區,2016/06/29 9:0至2016/06/30 5:0,2016/06/30 5:0(),1910,2016/6/8~2016/7/1,840高雄市大樹區     823高雄市田寮區     820高雄市岡山區     822高雄市阿蓮區     842高雄市旗山區     824高雄市燕巢區     
【停水區域一】彰化縣北斗鎮大道里;中山路二段單號-復興路500號至962號兩邊,2016/06/14 13:30至2016/06/27 18:0,2016/06/27 18:0(每日上午8點至下午6點),04-8882073     0912975533,2016/6/14~2016/6/28,521彰化縣北斗鎮     
【停水區域一】屏東縣高樹鄉舊寮村,2016/06/15 8:0至2016/07/14 19:0,2016/07/14 19:0(每日上午8點至下午7點),087962041,2016/6/15~2016/7/15,906屏東縣高樹鄉     
【停水區域一】屏東縣高樹鄉東興村;東振村,2016/06/15 8:0至2016/07/14 18:0,2016/07/14 18:0(每日上午8點至下午6點),087962041,2016/6/15~2016/7/15,906屏東縣高樹鄉     
【停水區域一】台中市烏日區烏日里;五光路932號至1072號(雙號)及其巷弄;五光路930巷;五光路970巷;五光路1000巷;五光路1042巷;五光路1058巷;,2016/06/17 8:30至2016/07/31 18:0,2016/07/31 18:0(每日上午8點30分至下午6點),04-23381614,2016/6/15~2016/8/1,414台中市烏日區     
【停水區域一】台中市北屯區太原路三段;部子路;東山路一段;三甲路;軍功路;景賢路;祥順二段;建和路二段;環中東路二段;;軍福十一路;軍福十一路;軍福九路;軍福八路;軍福七路;景賢一路;景賢八路,2016/06/07 8:30至2016/07/06 17:30,2016/07/06 17:30(每日上午8點30分至下午5點30分),04-22442469;1910,2016/6/15~2016/7/7,406台中市北屯區     
【停水區域一】台中市西區民權路(公益路-向上路一段);公益路(模範街-民權路);模範街(公益路-向上路一段);向上路一段(模範街-民權路);大和路;民權路229巷;民生北路;民權路213.217.225.229.233巷;模範街2.8.12.18.24.34.40.46巷等周遭巷道,2016/06/01 9:0至2016/06/30 18:30,2016/06/30 18:30(每日上午9點至下午6點30分),1910.22442469,2016/6/16~2016/7/1,403台中市西區       
【停水區域一】彰化縣溪湖鎮光華里,2016/06/21 9:0至2016/06/27 18:0,2016/06/27 18:0(每日上午9點至下午6點),04-8851778,2016/6/16~2016/6/28,514彰化縣溪湖鎮     
【停水區域一】高雄市湖內區中山路二段,2016/06/17 8:0至2016/06/24 18:0,2016/06/24 18:0(每日上午8點至下午6點),076934819,2016/6/17~2016/6/25,829高雄市湖內區     
【停水區域一】雲林縣大埤鄉南和村,2016/06/20 8:0至2016/06/25 18:0,2016/06/25 18:0(每日上午8點至下午6點),05-5972682,2016/6/17~2016/6/26,631雲林縣大埤鄉     
【停水區域一】桃園市大園區果林里、三石里、海口里、竹圍里。,2016/06/25 9:0至2016/06/25 20:0,2016/06/25 20:0(),免付費服務電話：1910    大園服務所:03-3862156,2016/6/17~2016/6/26,337桃園市大園區     
【停水區域一】彰化縣彰化市彰化市中正路2段503巷、仁愛路136巷等;彰安里,2016/06/19 8:0至2016/06/25 18:0,2016/06/25 18:0(上午8點至下午6點),047353883,2016/6/17~2016/6/26,500彰化縣彰化市     
【停水區域一】桃園市八德區八德區福僑街,2016/06/20 9:0至2016/06/25 18:0,2016/06/25 18:0(每日上午9點至下午18點),3346128,2016/6/18~2016/6/26,334桃園市八德區     
【停水區域一】嘉義市西區林森西路426巷、452巷、296巷。林森西路282號至474號馬路單側全部包括北興路橋下342號至362號、386號至366號。,2016/06/24 8:0至2016/07/01 18:0,2016/07/01 18:0(每日早上8點到下午6點，辦理自來水管線連結施工，埋設ψ300mm DIP自來水管線，暫停供水。(正常下午6點供水，惟管線末端用戶可能因水流時間延至下午8點供水)。),0972503183現場人員、0937356577工地負責人,2016/6/18~2016/7/2,600嘉義市西區       
【區域1】台中市西屯區成都路(西屯路二段以東、華美西街二段以西、文心路以南、漢口路二段以北) (何源里、何福里、何德里、何仁里)。;成都路(全部)，重慶路(部份)，寧夏路(文心路至漢口路)，寧夏路(文心路至漢口路)，華美西街二段(文心路至太原路)，內江街(全部)，合江街(全部)，內江街(全部)，永昌街(全部)，河南東街(全部)，，寧夏東街(全部)，寧夏西街(全部)。,2016/06/08 10:0至2016/06/29 18:30【每日上午8點至下午6點:30分】,2016/06/29 18:30以後,04-22442649,2016/6/19~2016/6/30,407台中市西屯區     
【停水區域一】新竹縣竹東鎮大明路,2016/06/21 8:0至2016/06/24 17:0,2016/06/24 17:0(每日於09~12，14~17施行降水壓(至1kg以下)),035963356,2016/6/20~2016/6/25,310新竹縣竹東鎮     
【停水區域一】南投縣南投市南投縣南投市中興路412巷&468巷;民族路及民族路2.3.16.18巷;信義街(以上包含巷弄),2016/06/20 8:0至2016/06/24 18:0,2016/06/24 18:0(),2222635,2016/6/20~2016/6/25,540南投縣南投市     
【停水區域一】台東縣卑南鄉利嘉村等巷弄,2016/06/20 8:0至2016/06/30 18:0,2016/06/30 18:0(每日上午8點至下午6點),承包商電話:0920-616378(許瀛豪)    監造人員電話:0912-198885(謝明達),2016/6/20~2016/7/1,954台東縣卑南鄉     
【停水區域一】彰化縣竹塘鄉田頭村;彰化縣埤頭鄉庄內村,2016/06/20 8:0至2016/07/04 18:0,2016/07/04 18:0(每日上午8點至下午6點),工務課蘇健源04-7245031*302 、廣鎰工程有限公司施閔祥0975-267579,2016/6/20~2016/7/5,525彰化縣竹塘鄉     523彰化縣埤頭鄉     
【停水區域一】台南市新營區台南市/新營區/台南市/新營區/復興路由高速公路橋下至明達高中北側/復興路700巷/1000巷/1070巷/1112巷;/1128巷,2016/06/24 8:0至2016/06/24 18:0,2016/06/24 18:0(上午08時0分至下午18時0分),06-6322240,2016/6/20~2016/6/25,730台南市新營區     
【停水區域一】雲林縣斗南鎮北銘里,2016/06/21 8:0至2016/06/25 18:0,2016/06/25 18:0(上午8點至下午6點),5972682  5972144,2016/6/20~2016/6/26,630雲林縣斗南鎮     
【停水區域一】台中市烏日區九德里;興祥街雙號側及其巷弄、長春街40至300號間及其巷弄、中山路一段雙號側2至372號間及其巷弄、中華路2至100號間及其巷弄.(中華路85~410號雙側含巷弄，興祥街188~220號雙號側含巷弄，興德街),2016/06/15 9:0至2016/07/15 20:0,2016/07/15 20:0(每日上午9點00分至下午20點),04-23381614,2016/6/20~2016/7/16,414台中市烏日區     
【停水區域一】南投縣埔里鎮牛眠里,2016/06/22 8:0至2016/07/22 17:0,2016/07/22 17:0(每日上午8點至下午5點(假日採不停水施工，水壓可能略有降低)),049-2915176,2016/6/21~2016/7/23,545南投縣埔里鎮     
【停水區域一】台中市北屯區中清路二段、敦化路一段、陳平路117巷、陳平路等包含附近各巷弄(陳平里、忠平里)。,2016/06/28 8:30至2016/06/28 16:0,2016/06/28 16:0(),22210169,2016/6/21~2016/6/29,406台中市北屯區     
【停水區域一】苗栗縣造橋鄉平興村.造橋村(老庄.過港坪.禮蘭新村),2016/06/21 8:30至2016/06/25 19:0,2016/06/25 19:0(上午8:30至下午7:00),037-623500,2016/6/21~2016/6/26,361苗栗縣造橋鄉     
【停水區域一】新北市泰山區明志路二段、明志路三段、新生路、新民路、民國街、中央路（全部）含週邊巷弄,2016/06/22 9:0至2016/06/24 20:0,2016/06/24 20:0(:每日上午9點至下午8點),29097480,2016/6/21~2016/6/25,243新北市泰山區     
【停水區域一】屏東縣高樹鄉東振村;東興村;百畝路,2016/06/01 8:0至2016/06/30 19:0,2016/06/30 19:0(每日上午8點至下午6點),087962041,2016/6/22~2016/7/1,906屏東縣高樹鄉     
