停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】嘉義縣中埔鄉金蘭村;裕民村;義仁村,2015/12/14 8:0至2016/03/15 19:0,2016/03/15 19:0以後,05-2611075,2015/12/30~2016/3/16,606嘉義縣中埔鄉     
,,,04-7353883,2016/1/4~2016/4/1,
【停水區域一】台南市官田區隆田里{全部無水};隆本里{全部無水};中山路一段{全部無水};三民路{全部無水};於105年2月15日進場開挖每日上午8點至下午6點全部無水,2016/02/15 8:0至2016/03/31 18:0每日上午8點至下午6點,每日下午6點後至翌日早上8點,(06)5721166,2016/1/12~2016/4/1,720台南市官田區     
【停水區域一】雲林縣虎尾鎮新吉里,2016/02/21 8:0至2016/03/21 18:0,2016/03/21 18:0(System.Web.UI.WebControls.TextBox),056322047,2016/2/16~2016/3/22,632雲林縣虎尾鎮     
【停水區域一】南投縣埔里鎮珠格里、溪南里,2016/02/23 8:0至2016/04/21 17:30,2016/04/21 17:30(System.Web.UI.WebControls.TextBox),049-2915176,2016/2/19~2016/4/22,545南投縣埔里鎮     
【停水區域一】南投縣埔里鎮大城里、西門里,2016/02/23 8:0至2016/04/30 17:30,2016/04/30 17:30(System.Web.UI.WebControls.TextBox),049-2915176,2016/2/19~2016/5/1,545南投縣埔里鎮     
【停水區域一】台中市大里區立仁里;新仁里;內新里;東昇里;好來一街;好來七街;好來二街;好來三街;好來五街;好來六街;台中市太平區太平里;建國里;永平路一段;永平路二段;永平路三段;新仁路一段;新平路一段;新平路二段;精美一街;精美路,2016/02/23 8:30至2016/03/31 17:30,2016/03/31 17:30(System.Web.UI.WebControls.TextBox),04-22442469,2016/2/19~2016/4/1,412台中市大里區     411台中市太平區     
【停水區域一】彰化縣埤頭鄉新庄村;新庄路;光華路,2016/02/23 8:0至2016/03/07 18:0,2016/03/07 18:0(System.Web.UI.WebControls.TextBox),04-8882073     0912975533,2016/2/22~2016/3/8,523彰化縣埤頭鄉     
【停水區域一】台東縣大武鄉南興村,2016/02/23 15:0至2016/03/31 17:0,2016/03/31 17:0(System.Web.UI.WebControls.TextBox),089-782902,2016/2/23~2016/4/1,965台東縣大武鄉     
【停水區域一】台東縣延平鄉桃源村全區,2016/03/07 8:0至2016/03/11 18:0,2016/03/11 18:0(System.Web.UI.WebControls.TextBox),承包商電話:0981-933361(鄭志國)    監造人員電話:0932-559811(謝仲科),2016/2/24~2016/3/12,953台東縣延平鄉     
【停水區域一】雲林縣土庫鎮西平里;南平里;後埔里;光榮路二段,2016/03/01 8:0至2016/03/31 18:0,2016/03/31 18:0(System.Web.UI.WebControls.TextBox),05-6622545  陳祐銓0921-350781 范雅聞0911-155483,2016/2/26~2016/4/1,633雲林縣土庫鎮     
【停水區域一】花蓮縣光復鄉大華村,2016/03/02 8:0至2016/03/07 17:0,2016/03/07 17:0(System.Web.UI.WebControls.TextBox),038351141,2016/2/26~2016/3/8,976花蓮縣光復鄉     
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。;台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016/02/26 19:0至2016/03/31 23:0,2016/03/31 23:0(System.Web.UI.WebControls.TextBox),26312127,2016/2/26~2016/4/1,433台中市沙鹿區     434台中市龍井區     
【停水區域一】台中市西區模範街(公益路-向上路一段間)、民生北路(公益路-向上路一段間)、民權路(公益路-向上路一段間)、(模範街-民權街間)、向上路一段(模範街-民權街間)、大和路(公益路-向上路一段間)、民權路213巷(公益路-向上路一段間)、民權路233巷、民權路229巷、民權路225巷、民權路217巷、民權路213巷、模範街40巷、模範街34巷、模範街12巷等周遭巷道,2016/03/07 9:0至2016/03/31 18:30,2016/03/31 18:30(System.Web.UI.WebControls.TextBox),1910.22442469,2016/3/1~2016/4/1,403台中市西區       
【停水區域一】彰化縣彰化市互助街、一心東街、一心南街、一德南路,2016/03/01 8:0至2016/03/17 18:0,2016/03/17 18:0(System.Web.UI.WebControls.TextBox),04-7353883,2016/3/1~2016/3/18,500彰化縣彰化市     
【停水區域一】雲林縣虎尾鎮公安里;東仁里,2016/03/02 8:0至2016/03/07 18:0,2016/03/07 18:0(System.Web.UI.WebControls.TextBox),056322047,2016/3/1~2016/3/8,632雲林縣虎尾鎮     
【停水區域一】台中市南屯區永春東二路、楓和路、楓樹巷、楓樹東街、楓樹南街包含附近巷弄,2016/03/07 8:30至2016/03/07 16:0,2016/03/07 16:0(System.Web.UI.WebControls.TextBox),22210169,2016/3/2~2016/3/8,408台中市南屯區     
【停水區域一】南投縣草屯鎮四維巷.八德巷(凡爾賽宮社區),2016/03/04 9:0至2016/03/31 17:0,2016/03/31 17:0(System.Web.UI.WebControls.TextBox),0492563505,2016/3/3~2016/4/1,542南投縣草屯鎮     
【區域1】宜蘭縣宜蘭市光復路101號至151號(單號),2016/03/07 13:0至2016/03/07 17:0 ,2016/03/07 17:0以後,03-9323255-50,2016/3/3~2016/3/8,260宜蘭縣宜蘭市     
【區域1】宜蘭縣宜蘭市光復路101號至151號(單號),2016/03/08 13:0至2016/03/08 17:0 ,2016/03/08 17:0以後,03-9323255-50,2016/3/3~2016/3/9,260宜蘭縣宜蘭市     
【區域1】宜蘭縣宜蘭市光復路101號至151號(單號),2016/03/09 13:0至2016/03/09 17:0 ,2016/03/09 17:0以後,03-9323255-50,2016/3/3~2016/3/10,260宜蘭縣宜蘭市     
【區域1】宜蘭縣宜蘭市光復路101號至151號(單號),2016/03/10 13:0至2016/03/10 17:0 ,2016/03/10 17:0以後,03-9323255-50,2016/3/3~2016/3/11,260宜蘭縣宜蘭市     
【停水區域一】基隆市信義區東明路55巷及77巷等一帶停水。,2016/03/08 0:0至2016/03/08 6:0,2016/03/08 6:0(System.Web.UI.WebControls.TextBox),24252103-59,2016/3/3~2016/3/9,201基隆市信義區     
【停水區域一】彰化縣秀水鄉秀水村;彰化縣花壇鄉劉厝村、崙雅村等一帶,2016/03/03 8:0至2016/03/17 18:0,2016/03/17 18:0(System.Web.UI.WebControls.TextBox),監工朱延清04-7245031*312、承包商振益水電工業股份有限公司許昱澤0910-537813,2016/3/3~2016/3/18,504彰化縣秀水鄉     503彰化縣花壇鄉     
【停水區域一】花蓮縣吉安鄉永安村;吉安路一段,2016/03/08 8:0至2016/03/08 17:0,2016/3/8至2016/3/8每日下午 05:00以後,(03)8351141 轉316,2016/3/3~2016/3/9,973花蓮縣吉安鄉     
【停水區域一】台中市西區三民西路、五權路、建國北路二段、懷寧街、三民路一段、永安街、樂群街、光輝街、民興街等包含附近巷弄,2016/03/09 8:30至2016/03/09 16:0,2016/03/09 16:0(System.Web.UI.WebControls.TextBox),22210169,2016/3/3~2016/3/10,403台中市西區       402台中市南區       
【停水區域一】台南市柳營區柳營外環道由柳營路一段至中山西路三段北側,2016/03/07 9:0至2016/03/07 16:0,2016/03/07 16:0(System.Web.UI.WebControls.TextBox),06-6322191,2016/3/4~2016/3/8,736台南市柳營區     
【停水區域一】南投縣仁愛鄉大同村,2016/03/04 21:0至2016/03/31 8:0,2016/03/31 8:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/3/4~2016/4/1,546南投縣仁愛鄉     
【停水區域一】台中市潭子區潭興路三段;興華一路;興華二路;中山路二段283巷;中山路241巷,2016/03/09 8:0至2016/03/22 17:0,2016/03/22 17:0(System.Web.UI.WebControls.TextBox),04-25722643豐原給水廠,2016/3/4~2016/3/23,427台中市潭子區     
