停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
銅鑼鄉、公館鄉、苗栗市部份(新英、南勢、新川、福麗、恭敬、高苗、 水源等里)。,105年4月15日上午10時起,105年4月15日下午2時止,1910、通霄銅鑼營運所：037-986206、苗栗營運所：037-320334,2016/4/8~2016/4/18,360苗栗縣苗栗市     363苗栗縣公館鄉     366苗栗縣銅鑼鄉     
苑裡鎮慈和街,105年4月20日起,105年4月27日止(每日上午9時至下午17時止每日停水8小時，晚上恢復供水。),1910、通霄銅鑼營運所：037-986206,2016/4/12~2016/4/28,358苗栗縣苑裡鎮     
苗栗市文山里、建功里、北苗里、上苗里、清華里、玉清里、嘉盛里、嘉新里，福星里，福安里、維祥里、維新里、玉苗里等地區共十三里處停水。<BR>,105年4月25日上午9時起,105年4月25日下午20時止,1910、苗栗營運所：037-320334,2016/4/14~2016/4/27,360苗栗縣苗栗市     
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】南投縣埔里鎮珠格里、溪南里,2016/02/23 8:0至2016/04/21 17:30,2016/04/21 17:30(System.Web.UI.WebControls.TextBox),049-2915176,2016/2/19~2016/4/22,545南投縣埔里鎮     
【停水區域一】南投縣埔里鎮大城里、西門里,2016/02/23 8:0至2016/04/30 17:30,2016/04/30 17:30(System.Web.UI.WebControls.TextBox),049-2915176,2016/2/19~2016/5/1,545南投縣埔里鎮     
【區域1】台中市太平區太平路/永成北路/長億六街/長億路/太平三街/長億一街/長億二街/長億二街45巷/長億四街/長億五街/太平五街/等一帶巷弄及鄰近地區水壓降低。,2016/03/15 9:0至2016/04/14 18:30 ,2016/04/14 18:30以後,1910;04-22442469,2016/3/10~2016/4/15,411台中市太平區     
【區域1】台中市太平區太平路/太平三街/長億六街/長億一街/太平一街/長億東二街/長億東三街/長億東五街/及附近一帶巷弄鄰近地區水壓降低。,2016/03/15 9:0至2016/04/14 18:30 ,2016/04/14 18:30以後,1910;04-22442469,2016/3/10~2016/4/15,411台中市太平區     
【區域1】台中市太平區太平路/太平三街/長億六街/長億一街/太平一街/長億東二街/長億東三街/長億東五街/及附近一帶巷弄鄰近地區水壓降低。,2016/03/15 9:0至2016/04/14 18:30 ,2016/04/14 18:30以後,1910;04-22442469,2016/3/10~2016/4/15,411台中市太平區     
