停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
湖口鄉：祥喜路。,105年7月9日09時30分起,105年7月9日17時30分止,1910、湖口營運所：03-5981603,2016/7/1~2016/7/11,303新竹縣湖口鄉     
【停水區域一】苗栗縣頭份鎮濫坑里 金印山莊地區  (預計施工期4~5個月)建請裝置加壓馬達用水,2016/03/25 19:0至2016/08/31 19:0,2016/3/25至2016/8/31每日下午 07:00以後,623500   628000,2016/3/25~2016/9/1,351苗栗縣頭份鎮     
【停水區域一】南投縣魚池鄉大林村、共和村,2016/04/08 9:0至2016/10/31 18:0,2016/10/31 18:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/4/7~2016/11/1,555南投縣魚池鄉     
【停水區域一】台中市太平區永成北路以東、太平三街以西、長億六街以北、太平路以南(永成里/長億里/永平里),2016/06/09 9:0至2016/07/08 17:30,2016/07/08 17:30(每日上午9點至下午5點 30分),1910;04-22442469,2016/6/6~2016/7/9,411台中市太平區     
【停水區域一】屏東縣高樹鄉舊寮村,2016/06/15 8:0至2016/07/14 19:0,2016/07/14 19:0(每日上午8點至下午7點),087962041,2016/6/15~2016/7/15,906屏東縣高樹鄉     
【停水區域一】屏東縣高樹鄉東興村;東振村,2016/06/15 8:0至2016/07/14 18:0,2016/07/14 18:0(每日上午8點至下午6點),087962041,2016/6/15~2016/7/15,906屏東縣高樹鄉     
【停水區域一】南投縣埔里鎮牛眠里,2016/06/22 8:0至2016/07/22 17:0,2016/07/22 17:0(每日上午8點至下午5點(假日採不停水施工，水壓可能略有降低)),049-2915176,2016/6/21~2016/7/23,545南投縣埔里鎮     
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/07/08 18:0,2016/07/08 18:0(每日上午8點30分至下午6點（星期例假日及下雨天不施工）),049-2762076#203,2016/6/23~2016/7/9,553南投縣水里鄉     
【停水區域一】台中市南屯區台中市/南屯區/忠勇路(協和南巷以南、五權西路三段以北路段)雙側，五權西路三段(高速公路以西、文山北巷以東) ，寶山里等附近一帶巷弄。,2016/06/25 8:30至2016/07/23 17:30,2016/07/23 17:30(),04-22442469.....1990,2016/6/24~2016/7/24,408台中市南屯區     
【停水區域一】台東縣卑南鄉初鹿村初鹿一、二、三街及梅園路、文泰路及忠孝路等全部及其巷道,2016/06/26 8:0至2016/07/16 18:0,2016/07/16 18:0(每日上午8點至下午6點(間歇性分段停水施工)),承包商電話:0937-390925(陳連文)    監造人員電話:0932-559811(謝仲科),2016/6/26~2016/7/17,954台東縣卑南鄉     
【停水區域一】桃園市八德區福僑街雙號側;福僑街44巷、58巷、72巷、80巷、90巷、100巷;廣福路167巷、181巷、193巷;福國街77巷、93巷、107巷、125巷、107巷30弄,2016/06/29 9:0至2016/07/09 18:0,2016/07/09 18:0(每日上午9點至下午6點),3346128,2016/6/28~2016/7/10,334桃園市八德區     
