Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,花東,25 - 45,,1 - 3,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,高屏,60 - 80,懸浮微粒,4 - 7,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,雲嘉南,60 - 80,懸浮微粒,3 - 6,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,中部,55 - 75,懸浮微粒,3 - 6,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,竹苗,35 - 55,懸浮微粒,1 - 3,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,北部,35 - 55,懸浮微粒,1 - 3,2016-01-11,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,花東,25 - 45,,1 - 3,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,高屏,65 - 85,懸浮微粒,4 - 7,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,雲嘉南,55 - 75,懸浮微粒,3 - 6,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,中部,50 - 70,懸浮微粒,3 - 6,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,竹苗,35 - 55,懸浮微粒,1 - 3,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,北部,35 - 55,懸浮微粒,1 - 3,2016-01-10,2016-01-09 12:00
1.9日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.9日全臺各地及外島地區PM2.5指標為低至中等級。3.10日及11日全臺各地PSI多為普通至良好等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島地區PM2.5指標為低至中等級。,澎湖,35 - 55,懸浮微粒,2 - 3,2016-01-09,2016-01-09 12:00
