停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
新北市地區：貢寮區、雙溪區、瑞芳區/濱海地區：鼻頭里、濂新里、濂洞里、南雅里、海濱里、瑞濱里、深澳里、福住里、崇文里、基山里、頌德里、永慶里、新山里、銅山里、石山里、瓜山里；<BR>基隆市地區：信義區、中正區；仁愛區/仁德里、水錦里、玉田里、和明里、忠勇里、林泉里、花崗里等水壓降低。,105年6月15日7時,105年6月16日6時,02-24941800貢雙營運所、02-24972411瑞芳營運所；02-24252103基隆服務所,2016/6/6~2016/6/16,228新北市貢寮區     227新北市雙溪區     224新北市瑞芳區     202基隆市中正區     201基隆市信義區     200基隆市仁愛區     
新北市/貢寮區、雙溪區、<BR>瑞芳地區：濱海地區：鼻頭里、濂新里、濂洞里、南雅里、海濱里、瑞濱里、深澳里、福住里、崇文里、基山里、頌德里、永慶里、新山里、銅山里、石山里、瓜山里。<BR>,105年6月15日上午7時,105年6月16日上午6時,貢雙所(02)24941820;瑞芳所(02)24972006;基隆所(02)24245200,2016/6/8~2016/6/16,200基隆市仁愛區     201基隆市信義區     202基隆市中正區     224新北市瑞芳區     227新北市雙溪區     228新北市貢寮區     
【停水區域一】苗栗縣頭份鎮濫坑里 金印山莊地區  (預計施工期4~5個月)建請裝置加壓馬達用水,2016/03/25 19:0至2016/08/31 19:0,2016/3/25至2016/8/31每日下午 07:00以後,623500   628000,2016/3/25~2016/9/1,351苗栗縣頭份鎮     
,,,04-7353883,2016/3/30~2016/7/1,
【停水區域一】南投縣魚池鄉大林村、共和村,2016/04/08 9:0至2016/10/31 18:0,2016/10/31 18:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/4/7~2016/11/1,555南投縣魚池鄉     
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/06/30 18:0,2016/06/30 18:0(每日上午8點30分至下午6點（星期例假日及下雨天不施工）),049-2762076#203,2016/5/4~2016/7/1,553南投縣水里鄉     
【停水區域一】台中市西屯區台中市/西屯區/台中市西屯區;安和路(台灣大道四段以南路段)、忠勇路(五權西路三段以北路段)、朝馬路(國道1以西路段)、水尾巷以東、協和北巷、協和南巷、(協和里、福和里);安和二街;安和三街;福玄路;安和東路及附近一帶巷弄,2016/05/21 8:30至2016/06/21 17:30,2016/06/21 17:30(),04-22442469,2016/5/20~2016/6/22,407台中市西屯區     
【停水區域一】屏東縣高樹鄉舊庄村;舊庄村,2016/05/25 8:0至2016/06/13 18:0,2016/06/13 18:0(:每日上午8點至下午6點),087962041,2016/5/25~2016/6/14,906屏東縣高樹鄉     
【停水區域一】南投縣南投市南投縣南投市新興路、南新路、力行1~5街(含巷弄).水壓降低大埤街含巷弄.,2016/05/26 8:0至2016/06/13 18:0,2016/06/13 18:0(),0492563505,2016/5/26~2016/6/14,540南投縣南投市     
【停水區域一】彰化縣溪湖鎮大突里;湖西里,2016/05/30 9:0至2016/06/10 18:0,2016/06/10 18:0(每日上午9點至下午6點),04-8851778,2016/5/27~2016/6/11,514彰化縣溪湖鎮     
