停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】南投縣竹山鎮民生巷、沉潭巷及其部分巷道,2015/10/13 14:0至2016/02/29 18:0,2016/02/29 18:0以後,0492642074,2015/12/7~2016/3/1,557南投縣竹山鎮     557南投縣竹山鎮     
【停水區域一】嘉義縣中埔鄉金蘭村;裕民村;義仁村,2015/12/14 8:0至2016/03/15 19:0,2016/03/15 19:0以後,05-2611075,2015/12/30~2016/3/16,606嘉義縣中埔鄉     
,,,04-7353883,2016/1/4~2016/4/1,
【停水區域一】台南市官田區隆田里{全部無水};隆本里{全部無水};中山路一段{全部無水};三民路{全部無水};春節期間105年2月1日~2月14日禁挖正常供水;於105年2月15日進場開挖每日上午8點至下午6點全部無水,2016/01/20 8:0至2016/03/31 18:0每日上午8點至下午6點,每日下午6點後至翌日早上8點,(06)5721166,2016/1/12~2016/4/1,720台南市官田區     
【停水區域一】高雄市大樹區三和里;大坑里;三和路;大坑路,2016/01/18 8:0至2016/02/06 19:0,2016/02/06 19:0以後,(07)7424163,2016/1/13~2016/2/7,840高雄市大樹區     
【停水區域一】高雄市大寮區過溪里,2016/01/18 8:0至2016/02/06 18:0,2016/02/06 18:0以後,(07)7424163,2016/1/13~2016/2/7,831高雄市大寮區     
【停水區域一】雲林縣虎尾鎮新吉里,2016/01/20 8:0至2016/02/20 18:0,2016/02/20 18:0以後,05-6322047,2016/1/18~2016/2/21,632雲林縣虎尾鎮     
【停水區域一】高雄市鳳山區新強路、新民街、新熱街、新康街、新昌街、新國街等附近一帶,2016/01/20 17:0至2016/02/05 23:59,2016/02/05 23:59以後,7883714,2016/1/20~2016/2/6,830高雄市鳳山區     
【區域1】台南市安南區府安路七段112號之後{全部},2016/01/25 8:0至2016/02/02 18:0【每日上午08 時00分至下午06 時00分】,2016/02/02 18:0以後,,2016/1/21~2016/2/3,709台南市安南區     
【停水區域一】彰化縣秀水鄉秀水村;彰化縣花壇鄉劉厝村、崙雅村等一帶,2016/01/21 10:0至2016/02/04 18:0,2016/02/04 18:0以後,監工朱延清04-7245031*312、承包商振益水電工業股份有限公司許昱澤0910-537813,2016/1/21~2016/2/5,504彰化縣秀水鄉     503彰化縣花壇鄉     
【停水區域一】彰化縣秀水鄉金興村、陜西村等一帶;彰化縣花壇鄉花壇村一帶,2016/01/21 8:0至2016/02/04 18:0,2016/02/04 18:0以後,監工人員-蘇健源04-7245031*302、承包商-裕緯營造工程有限公司-林美秀04-8911223,2016/1/21~2016/2/5,504彰化縣秀水鄉     503彰化縣花壇鄉     
【區域1】台南市安南區府安路七段112號之後{全部},2016/01/25 8:0至2016/02/02 18:0【每日上午08 時00分至下午06 時00分】,2016/02/02 18:0以後,06-2370021#268,2016/1/21~2016/2/3,709台南市安南區     
【停水區域一】嘉義縣六腳鄉全部村里;嘉義縣太保市全部村里;嘉義縣布袋鎮全部村里;嘉義縣朴子市全部村里;嘉義縣鹿草鄉全部村里,2016/01/26 13:0至2016/02/05 0:0,2016/02/05 0:0(System.Web.UI.WebControls.TextBox),05-3792117,2016/1/27~2016/2/6,615嘉義縣六腳鄉     612嘉義縣太保市     625嘉義縣布袋鎮     613嘉義縣朴子市     611嘉義縣鹿草鄉     
【停水區域一】南投縣仁愛鄉大同村,2016/01/29 21:0至2016/02/27 8:0,2016/02/27 8:0(System.Web.UI.WebControls.TextBox),049-2915176,2016/1/28~2016/2/28,546南投縣仁愛鄉     
【停水區域一】彰化縣和美鎮和善路附近一帶,2016/02/01 10:0至2016/02/01 17:0,2016/02/01 17:0(System.Web.UI.WebControls.TextBox),04-7245031*252,2016/1/29~2016/2/2,508彰化縣和美鎮     
【停水區域一】台中市沙鹿區三鹿里、埔子里、自強路、自立路、中園街、國昌一街、國昌二街、國昌三街、國昌四街、中樂街、正德路、正順路、正英路附近區域(含巷弄)。;台中市龍井區龍泉里、龍社路、南社路、中社路、水裡社街附近區域(含巷弄)。,2016/01/29 19:0至2016/02/29 23:0,2016/02/29 23:0(System.Web.UI.WebControls.TextBox),26312127,2016/1/29~2016/3/1,433台中市沙鹿區     434台中市龍井區     
【停水區域一】高雄市茄萣區高雄市茄萣區茄萣路二段(濱海路四段以南至茄萣路二段460巷以北),2016/01/31 9:0至2016/02/04 18:0,2016/02/04 18:0(System.Web.UI.WebControls.TextBox),(07)6934819,2016/1/30~2016/2/5,852高雄市茄萣區     
【區域1】台中市烏日區五光路、中山路、成功嶺,2016/01/31 18:20至2016/02/01 18:20 ,2016/02/01 18:20以後,,2016/1/31~2016/2/2,414台中市烏日區     
【停水區域一】高雄市鹽埕區大有街.府北路.大有街6巷一帶,2016/02/01 14:0至2016/02/01 17:0,2016/02/01 17:0(System.Web.UI.WebControls.TextBox),07-3312292-237,2016/2/1~2016/2/2,803高雄市鹽埕區     
【停水區域一】台中市龍井區遊園北路;遠東街等含巷弄,2016/02/01 8:5至2016/02/01 10:0,2016/02/01 10:0(System.Web.UI.WebControls.TextBox),04-26312127,2016/2/1~2016/2/2,434台中市龍井區     
【停水區域一】高雄市大寮區景美街、山頂路、景明街、景隆街、新強街、新富街、內厝街、山頂里等附近地區,2016/02/01 9:0至2016/02/01 20:0,2016/2/1至2016/2/1每日下午 08:00以後,7883714,2016/2/1~2016/2/2,831高雄市大寮區     
【停水區域一】高雄市鳳山區中山東路178巷、鳳東路、成群街、成德路等附近一帶及附近各巷子。,2016/02/01 9:0至2016/02/01 20:0,2016/2/1至2016/2/1每日下午 08:00以後,7883714,2016/2/1~2016/2/2,830高雄市鳳山區     
【停水區域一】高雄市茄萣區白雲里,2016/02/02 9:0至2016/02/02 18:0,2016/02/02 18:0(System.Web.UI.WebControls.TextBox),(07)6934819,2016/2/1~2016/2/3,852高雄市茄萣區     
【停水區域一】台南市西港區大竹林;新港,2016/02/01 9:0至2016/02/01 12:0,2016/2/1至2016/2/1每日下午 12:00以後,7222477,2016/2/1~2016/2/2,723台南市西港區     
【停水區域一】南投縣集集鎮吳厝里民生路150-300號,2016/02/01 9:0至2016/02/01 14:0,2016/2/1至2016/2/1每日下午 02:00以後,0492762076,2016/2/1~2016/2/2,552南投縣集集鎮     
【停水區域一】高雄市鳳山區自立街、青年路一段、忠義街、五權路、光復路一段、信義街、華明街等附近地區,2016/02/01 9:0至2016/02/01 20:0,2016/2/1至2016/2/1每日下午 08:00以後,7883714,2016/2/1~2016/2/2,830高雄市鳳山區     
【停水區域一】台南市安南區海佃路1段,2016/02/01 9:0至2016/02/01 17:0,2016/2/1至2016/2/1每日下午 05:00以後,06-3036097,2016/2/1~2016/2/2,709台南市安南區     
【停水區域一】苗栗縣通霄鎮平元里;梅南里,2016/02/01 9:15至2016/02/01 11:15,2016/02/01 11:15(System.Web.UI.WebControls.TextBox),037-986206,2016/2/1~2016/2/2,357苗栗縣通霄鎮     
【停水區域一】雲林縣褒忠鄉,2016/02/01 9:30至2016/02/01 11:0,2016/02/01 11:0(System.Web.UI.WebControls.TextBox),05-6622545     0912-129532,2016/2/1~2016/2/2,634雲林縣褒忠鄉     
【停水區域一】台中市大肚區大肚區 日光郡社區 大德一街 大明四街 大明五街附近區域(含巷弄),2016/02/01 9:0至2016/02/01 17:0,2016/02/01 17:0(System.Web.UI.WebControls.TextBox),04-26312127,2016/2/1~2016/2/2,432台中市大肚區     
【停水區域一】高雄市三民區義永路68巷巷口.康德街.建興路附近一帶,2016/02/01 9:25至2016/02/01 11:25,2016/2/1至2016/2/1每日上午 11:25以後,07-7321319,2016/2/1~2016/2/2,807高雄市三民區     
