停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
苑裡鎮慈和街,105年4月20日起,105年4月27日止(每日上午9時至下午17時止每日停水8小時，晚上恢復供水。),1910、通霄銅鑼營運所：037-986206,2016/4/12~2016/4/28,358苗栗縣苑裡鎮     
三義鄉（西湖村、勝興村）。,105年4月28日9時起,105年4月28日18時止,1910、通霄銅鑼營運所：037-986206,2016/4/19~2016/4/29,367苗栗縣三義鄉     
湖口鄉的湖南村、鳳山村、勝利村、中興村。<BR>水壓降低地區：新埔鎮(上寮里、下寮里、田新里、文山里、旱坑里)高地區及新竹工業區西區、鳳凰村。,4月26日上午9時,4月27日下午19時止,1910、湖口營運所：03-5981603,2016/4/27~2016/4/29,303新竹縣湖口鄉     
新竹市(東大路以北與鐵路以西地區：古賢里、金雅里、舊社里、前溪里、復興里、文華里、金竹里、光田里、士林里、水田里、光華里、湳雅里、福林里、三民里、金華里、武陵里、湳中里、復中里、東園里)、千甲里、水源里、竹北市及新豐鄉全鄉(不含後湖村、福興村)。 ,105年4月26日上午9時起,105年4月27日上午7時止,免費服務電話1910；新竹服務所：03-5712141；新竹給水廠：03- 5733523，陳廠長：0919-361905，竺股長：0928-578810竹北營運所：03- 5516814，紀股長：0939-294802湖口營運所：03-5981603，沈股長：0918-951872；；,2016/4/27~2016/4/29,305新竹縣新埔鄉     304新竹縣新豐鄉     300新竹市新竹市     302新竹縣竹北市     
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】南投縣埔里鎮大城里、西門里,2016/02/23 8:0至2016/04/30 17:30,2016/04/30 17:30(System.Web.UI.WebControls.TextBox),049-2915176,2016/2/19~2016/5/1,545南投縣埔里鎮     
【停水區域一】南投縣埔里鎮清新里,2016/04/22 8:0至2016/05/22 17:30,2016/05/22 17:30(System.Web.UI.WebControls.TextBox),049-2915176,2016/3/17~2016/5/23,545南投縣埔里鎮     
【停水區域一】雲林縣虎尾鎮新吉里,2016/03/24 8:0至2016/04/30 18:0,2016/04/30 18:0(System.Web.UI.WebControls.TextBox),05-6322047,2016/3/24~2016/5/1,632雲林縣虎尾鎮     
【停水區域一】台中市西區公益路(模範街-民生北路間)、向上路一段(模範街-民生北路間)、模範街(公益路-向上路一段間)、民生北路(公益路-向上路一段間)、大和街、民權路229巷等周遭巷道,2016/04/01 9:0至2016/04/30 18:30,2016/04/30 18:30(System.Web.UI.WebControls.TextBox),22442469.1910,2016/3/24~2016/5/1,403台中市西區       
