Content,Area,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",花東,25 - 45,,1 - 3,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",宜蘭,30 - 50,,1 - 3,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",高屏,50 - 70,懸浮微粒,3 - 5,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",雲嘉南,50 - 70,懸浮微粒,3 - 5,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",中部,40 - 60,懸浮微粒,3 - 5,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",竹苗,30 - 50,,2 - 4,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",北部,40 - 60,懸浮微粒,3 - 5,2016-04-07,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",花東,30 - 50,,1 - 3,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",宜蘭,35 - 55,懸浮微粒,2 - 3,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",高屏,50 - 70,懸浮微粒,3 - 5,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",雲嘉南,45 - 65,懸浮微粒,3 - 5,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",中部,45 - 65,懸浮微粒,3 - 5,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",竹苗,35 - 55,懸浮微粒,2 - 4,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",北部,45 - 65,懸浮微粒,3 - 6,2016-04-06,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",澎湖,15 - 35,,1 - 3,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",金門,45 - 65,懸浮微粒,3 - 6,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",馬祖,15 - 35,,1 - 3,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",花東,35 - 55,懸浮微粒,2 - 3,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",宜蘭,35 - 55,懸浮微粒,2 - 3,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",高屏,40 - 60,懸浮微粒,3 - 6,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",雲嘉南,45 - 65,懸浮微粒,4 - 7,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",中部,40 - 60,懸浮微粒,4 - 7,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",竹苗,35 - 55,懸浮微粒,3 - 5,2016-04-05,2016-04-05 12:00
"1.5日全臺各地及外島PSI為普通等級，指標污染物為懸浮微粒；中部及雲嘉南地區PM2.5指標為中至高等級，其他地區為低至中等級。\r2.6日、7日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5指標為低至中等級。",北部,45 - 65,懸浮微粒,3 - 6,2016-04-05,2016-04-05 12:00
