停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
九份地區(福住里、崇文里、基山里、頌德里、永慶里),105年8月2日9時,105年8月2日15時30分,02-24972006、02-24972411,2016/7/20~2016/8/2,224新北市瑞芳區     
【停水區域一】苗栗縣頭份鎮濫坑里 金印山莊地區  (預計施工期4~5個月)建請裝置加壓馬達用水,2016/03/25 19:0至2016/08/31 19:0,2016/3/25至2016/8/31每日下午 07:00以後,623500   628000,2016/3/25~2016/9/1,351苗栗縣頭份鎮     
【停水區域一】台中市太平區台中市/太平區/新仁路二段南北雙側至中興路東側、甲堤路西側。(內新里、東昇里)；新仁路一段南北雙側至甲堤路東側、永豐路西側(立仁里、新仁里)；好來五街東西側雙向至甲堤路東側、立仁路西側、立新一街北側、新仁路一段南側。(立仁里),2016/07/01 8:30至2016/07/31 17:30,2016/07/31 17:30(自 105年7月1日8時30分 起迄 105年7月31日17時30分 止),04-22442469,2016/6/29~2016/8/1,411台中市太平區     
【停水區域一】台中市烏日區溪南路一段81~801號單號側含巷弄、福泰街含巷弄、後底溪路含巷弄、環中路8段206弄（含弄）、260巷（含弄）、332巷（含弄）、588巷（含弄）、溪福路1~130號間含巷弄,2016/06/30 9:0至2016/07/31 19:0,2016/07/31 19:0(),0423381614,2016/6/29~2016/8/1,414台中市烏日區     
,,,04-7353883,2016/7/4~2016/10/1,
【停水區域一】新北市樹林區啟智街131號至173巷全段(含巷弄)、文化街及育英街165巷全部,2016/07/06 9:0至2016/07/31 18:0,2016/07/31 18:0(每日上午9點至下午6點),02-26812254,2016/7/5~2016/8/1,238新北市樹林區     
【停水區域一】新北市樹林區啟智街131號至173巷口全段(含巷弄)、文化街及育英街165巷全部,2016/07/11 9:0至2016/07/31 18:0,2016/07/31 18:0(日上午9點至下午6點)),02-26812254,2016/7/9~2016/8/1,238新北市樹林區     
【停水區域一】高雄市大寮區田單一街;田單二街;莒光二街;莒光一街;建民街;富民街,2016/07/11 8:0至2016/07/31 18:0,2016/07/31 18:0(每日上午8點至下午6點),07-8912618#12,2016/7/11~2016/8/1,831高雄市大寮區     
【停水區域一】台中市西屯區詳如停水公告;範圍 : 重慶路(台灣大道二段以東、華美西街二段以西、文心路以南、漢口路二段以北);里別 :  (何源里、何福里、何德里、何仁里、何安里、何厝里)。;路名 : ;成都路(全部)，重慶路(部份)，河南路(文心路至漢口路)，寧夏路(文心路至漢口路)，華美西街二段(文心路至太原路)，內江街(全部)，合江街(全部)，內江街(全部) ，漢城街(全部)，永昌街(全部)，河南東街(全部)，寧夏東街(部份)，寧夏西街(部份) ，何安巷(全部)，銀聯巷(全部)，青海路(文心至漢口)，四川路(全部)，四川街(全部)，四川東街(全部)，,2016/07/24 8:0至2016/08/23 17:0,2016/08/23 17:0(每日上午8點至下午5點),04-22452143,2016/7/12~2016/8/24,407台中市西屯區     
【停水區域一】桃園市大溪區桃54線瑞德街,2016/07/15 9:0至2016/08/23 16:0,2016/08/23 16:0(每日AM09:00至PM04:00。),免付費服務電話：1910   龍潭給水廠:03-4712002    大溪服務所:03-4711836,2016/7/12~2016/8/24,335桃園市大溪區     
【停水區域一】南投縣集集鎮八張里;永昌里;吳厝里,2016/07/14 8:0至2016/09/30 18:0,2016/09/30 18:0(8:00至18:00),049-2762076,2016/7/13~2016/10/1,552南投縣集集鎮     
【停水區域一】彰化縣彰化市彰鹿路、彰馬路、彰平路、彰水路、永芳路、線東路一段,2016/07/01 8:0至2016/07/31 18:0,2016/07/31 18:0(每日上午8點至下午6點),04-7353883,2016/7/13~2016/8/1,500彰化縣彰化市     
【停水區域一】台中市太平區太平路/長億一街/長億東二街/長億東三街/長億東五街/長億六街/太平三街/太平一街/及附近一代巷弄/太平三街以東、長億一街以西、長億六街以北、太平路以南(長億里),2016/07/11 9:0至2016/08/10 17:30,2016/08/10 17:30(每日上午9點至下午5點30分),1910;04-22442469,2016/7/13~2016/8/11,411台中市太平區     
【停水區域一】台中市東區忠明南路以東、大智路以西、忠明南路以北、建國南路以南(新庄里/振興里/東興里/東橋里/城隍里/德義里/長榮里/新榮里/江川里/福平里/福順里/福興里/國光里/南門里/南和里)。;台中市南區忠明南路以東、大智路以西、忠明南路以北、建國南路以南(新庄里/振興里/東興里/東橋里/城隍里/德義里/長榮里/新榮里/江川里/福平里/福順里/福興里/國光里/南門里/南和里)。,2016/07/11 9:0至2016/08/10 17:30,2016/08/10 17:30(每日上午9點30分至下午17點 30分),1910;04-22442469,2016/7/13~2016/8/11,401台中市東區       402台中市南區       
【停水區域一】台中市太平區永成北路/長億路/太平三街/長億一街/長億二街/太平五街/長億四街/長億五街/長億二街45巷/長億南二街/太平三街176巷/及附近一代巷弄/永成北路以東、太平三街以西、長億六街以北、太平路以南(永成里/長億里/永平里),2016/07/11 9:0至2016/08/10 17:30,2016/08/10 17:30(每日上午9點至下午5點 30分),1910;04-22442469,2016/7/13~2016/8/11,411台中市太平區     
【停水區域一】台中市南區文心南路以東、國光路以西、高工路(大明路)以北、建國南路以南(積善里/平和里/永和里/德義里/福興里/南和里/福順里/福平里/和平里/崇倫里/樹義里/南門里),2016/07/11 9:0至2016/08/10 17:30,2016/08/10 17:30(每日上午9點至下午17點 30分),1910;04-22442469,2016/7/13~2016/8/11,402台中市南區       
【停水區域一】台中市北區英才路.太原路一段.太原路二段.忠明路.崇德路一段.健行路.學士路.梅川西路三段.五權路.文武街.梅亭街.博館路.西屯路一段.民權路等周遭巷道,2016/07/04 9:0至2016/08/04 18:0,2016/08/04 18:0(每日上午9點至下午6點),1910.22442469,2016/7/15~2016/8/5,404台中市北區       
【停水區域一】台中市北屯區清水巷(東山路-清水巷22號),2016/07/18 8:30至2016/08/18 18:30,2016/08/18 18:30(每日上午8點30至下午6點30),1910.22442469,2016/7/15~2016/8/19,406台中市北屯區     
【停水區域一】台中市烏日區九德里;興祥街以東、環中路以西、中山路一段以北、建國路以南包圍範圍內（興祥街雙號側及其巷弄、長春街40至300號間及其巷弄、中山路一段雙號側2至380號間及其巷弄、中華路2至410號間及其巷弄、九德街全線含巷弄、興德街、環中路六段)。(非整日停水，僅幹管改接及用戶施作需停水),2016/07/18 9:0至2016/08/31 19:0,2016/08/31 19:0(每日上午9點至下午7點),04-23381614,2016/7/18~2016/9/1,414台中市烏日區     
【停水區域一】屏東縣高樹鄉民生巷;東興村共榮巷;武尚路,2016/07/14 8:0至2016/08/15 18:0,2016/08/15 18:0(每日上午8點至下午6點),087962041,2016/7/18~2016/8/16,906屏東縣高樹鄉     
