Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",花東,20 - 40,,1 - 2,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",宜蘭,20 - 40,,1 - 2,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",高屏,60 - 80,懸浮微粒,6 - 9,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",雲嘉南,50 - 70,懸浮微粒,2 - 4,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",中部,45 - 65,懸浮微粒,2 - 4,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",竹苗,20 - 40,,1 - 3,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",北部,25 - 45,,1 - 3,2016-02-26,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",花東,15 - 35,,1 - 2,2016-02-25,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",宜蘭,15 - 35,,1 - 2,2016-02-25,2016-02-23 17:00
"1.24日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。\r2.24日高屏地區PM2.5指標為高等級，其他地區為低到中等級。\r3.25及26日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒。高屏地區PM2.5指標為中至高等級，其他地區為低到中等級。",高屏,55 - 75,懸浮微粒,6 - 9,2016-02-25,2016-02-23 17:00
